artist,genre
OutKast,rap
Run the Jewels,rap
Kendrick Lamar,rap
Childish Gambino,rap
MF DOOM,rap
Busdriver,rap
Open Mike Eagle,rap
Gang Starr,rap
Mobb Deep,rap
JAY-Z,rap
2Pac,rap
Action Bronson,rap
clipping.,rap
Pusha-T,rap
Chance the Rapper,rap
Denzel Curry,rap
Killer Mike,rap
Lil Wayne,rap
Wu-Tang Clan,rap
Drake,rap
Saba,rap
WHY?,rap
Kanye West,rap
Kid Cudi,rap
Tyler The Creator,rap
Westside Gunn,rap
JPEGMafia,rap
Death Grips,rap
